1;Cô ấy về nhà bao giờ?;Когда она пошла домой?;vn-bg
2;Bao giờ cô ấy về nhà?;Когда она пойдёт домой?;vn-bg
3;Ngày mai bạn làm gì?;Что ты делаешь завтра?;vn-bg
4;Tôi đi chơi với một người bạn. Chúng tôi đi xem phim.;I'm going out with a friend. Мы собираемся посмотреть фильм.;vn-bg
5;Cô ấy đang mặc áo choàng màu vàng.;She is wearin a yellow blouse.;vn-bg
6;Nhà bạn ở đường nào?;На какой улице твой дом?;vn-bg
7;#1Nhà #2tôi #3ở đường #4này.;#2Мой #1дом #3на #4этой #3улице.;vn-bg
8;#1Việt Nam #2có #3bao nhiêu #4người?;#3How many #4people# #5does #1Vietnam #2have#?;vn-bg
9;#1Cái này #2mắc #3quá #chị! Còn #4cái đó #thì sao? #5Nó #6bao nhiêu?;#1That's #3too #2expensive#! How about #4this one#? #6How much #is #5it?;vn-bg
10;#1Bạn #2tên #3là #4gì?;#4What #3is #1your #2name?;unkn
11;#1Giá mà #2tôi #3có được #4đôi giày #5như thế#.;#1Хотелось бы#, чтобы #2у меня #3были #5такие #4туфли#.;op-sub
12;#1Tôi #2muốn #3cho bà #4xem #5thứ này#, #6bà #7Gump# ạ. #8Đây là #9bình thường#. #10Forrest #11ở ngay đây#.;#1Я #2хочу #3Вам #5кое-что #4показать#, #6миссис #7Гамп#. #8Это# - #9норма#. #10Форрест #11здесь#.;op-sub
13;#1Cậu bé #2sẽ #3phải vào #4trường #5đặc biệt. #6Cậu bé #7sẽ #8ổn thôi.;#1Он #2будет #3посещать #5особую #4школу. #6Он #7будет #8молодцом.;op-sub
14;#6Có người. #1Cậu #2không #3được #4ngồi #5đây.;#6Занято. #1Ты #2не #3можешь #5сюда #4сесть.;op-sub
15;#1Cậu #2có thể #3ngồi #4đây #5nếu #6cậu muốn.;#1Ты #2можешь #3сесть #4сюда, #5если #6хочешь.;op-sub
